task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	6d/92e637	nf-6d92e637-1683584800579/nf-6d92e637-168358-a744f2fe-a566-4c630	FASTQC (AD026-22_S17_L001)	ABORTED	-	2023-05-08 17:26:43.457	-	-	-	-	-	-	-
4	73/efce0f	nf-73efce0f-1683584800582/nf-73efce0f-168358-b595d58f-8b99-498d0	FASTQC (AD026-22_S17_L002)	ABORTED	-	2023-05-08 17:26:44.497	-	-	-	-	-	-	-
3	20/b985f4	nf-20b985f4-1683584800629/nf-20b985f4-168358-399a5f5b-cdeb-40bb0	BBMAP_BBDUK (AD026-22_S17_L002)	ABORTED	-	2023-05-08 17:26:45.363	-	-	-	-	-	-	-
1	f4/e95317	nf-f4e95317-1683584800631/nf-f4e95317-168358-ba556534-f1c1-4ec70	BBMAP_BBDUK (AD026-22_S17_L001)	ABORTED	-	2023-05-08 17:26:46.898	-	-	-	-	-	-	-
5	e4/d783b9	nf-e4d783b9-1683584800692/nf-e4d783b9-168358-e248078e-9fe6-4a380	FASTQC (AD027-42_S30_L001)	ABORTED	-	2023-05-08 17:26:47.922	-	-	-	-	-	-	-
6	1a/60f33d	nf-1a60f33d-1683584800769/nf-1a60f33d-168358-4b00fe5a-bfc8-45af0	BBMAP_BBDUK (AD027-42_S30_L001)	ABORTED	-	2023-05-08 17:26:49.034	-	-	-	-	-	-	-
8	ff/a28353	nf-ffa28353-1683584800794/nf-ffa28353-168358-54e02d89-d539-485f0	FASTQC (AD027-42_S30_L002)	ABORTED	-	2023-05-08 17:26:50.056	-	-	-	-	-	-	-
7	49/723a60	nf-49723a60-1683584800861/nf-49723a60-168358-1f43d23a-6a68-473b0	BBMAP_BBDUK (AD027-42_S30_L002)	ABORTED	-	2023-05-08 17:26:51.015	-	-	-	-	-	-	-
10	4a/527b09	nf-4a527b09-1683584800908/nf-4a527b09-168358-7578098e-f108-47e90	FASTQC (AD030-22_S22_L001)	ABORTED	-	2023-05-08 17:26:52.219	-	-	-	-	-	-	-
9	7f/26f8d0	nf-7f26f8d0-1683584800965/nf-7f26f8d0-168358-4a2822a3-008c-43900	BBMAP_BBDUK (AD030-22_S22_L001)	ABORTED	-	2023-05-08 17:26:53.286	-	-	-	-	-	-	-
11	6c/69f8ea	nf-6c69f8ea-1683584801051/nf-6c69f8ea-168358-018a7852-3c9f-41980	FASTQC (AD030-22_S22_L002)	ABORTED	-	2023-05-08 17:26:54.408	-	-	-	-	-	-	-
12	89/3616ed	nf-893616ed-1683584801086/nf-893616ed-168358-c280ce69-fcee-48a40	BBMAP_BBDUK (AD030-22_S22_L002)	ABORTED	-	2023-05-08 17:26:55.584	-	-	-	-	-	-	-
14	89/39ae18	nf-8939ae18-1683584801150/nf-8939ae18-168358-c9b00f44-9a5f-42180	FASTQC (AD030-32_S18_L001)	ABORTED	-	2023-05-08 17:26:56.562	-	-	-	-	-	-	-
13	4e/08beab	nf-4e08beab-1683584801194/nf-4e08beab-168358-413bee2c-4866-4e110	BBMAP_BBDUK (AD030-32_S18_L001)	ABORTED	-	2023-05-08 17:26:57.600	-	-	-	-	-	-	-
15	6a/5220ce	nf-6a5220ce-1683584801302/nf-6a5220ce-168358-297097ca-a5fd-4e640	FASTQC (AD030-32_S18_L002)	ABORTED	-	2023-05-08 17:26:58.702	-	-	-	-	-	-	-
16	52/31d168	nf-5231d168-1683584801356/nf-5231d168-168358-7c6684e8-6a63-469d0	BBMAP_BBDUK (AD030-32_S18_L002)	ABORTED	-	2023-05-08 17:27:00.214	-	-	-	-	-	-	-
18	58/e334da	nf-58e334da-1683584801402/nf-58e334da-168358-60ade553-92f6-45130	FASTQC (AD031-22_S29_L001)	ABORTED	-	2023-05-08 17:27:01.197	-	-	-	-	-	-	-
17	b1/9382c7	nf-b19382c7-1683584801431/nf-b19382c7-168358-62a4767b-5a4a-4dda0	BBMAP_BBDUK (AD031-22_S29_L001)	ABORTED	-	2023-05-08 17:27:02.101	-	-	-	-	-	-	-
20	b6/315394	nf-b6315394-1683584801506/nf-b6315394-168358-fe98dbca-f16e-4ad00	FASTQC (AD031-22_S29_L002)	ABORTED	-	2023-05-08 17:27:03.084	-	-	-	-	-	-	-
19	72/99626b	nf-7299626b-1683584801594/nf-7299626b-168358-405cfdb8-7d9d-40140	BBMAP_BBDUK (AD031-22_S29_L002)	ABORTED	-	2023-05-08 17:27:03.987	-	-	-	-	-	-	-
21	eb/492ac2	nf-eb492ac2-1683584801608/nf-eb492ac2-168358-97e7eee6-ca5b-479c0	FASTQC (AD031-32_S34_L001)	ABORTED	-	2023-05-08 17:27:04.847	-	-	-	-	-	-	-
22	39/abe21e	nf-39abe21e-1683584801659/nf-39abe21e-168358-2d1233f1-0c33-47ae0	BBMAP_BBDUK (AD031-32_S34_L001)	ABORTED	-	2023-05-08 17:27:05.733	-	-	-	-	-	-	-
23	1b/6e7f0e	nf-1b6e7f0e-1683584801689/nf-1b6e7f0e-168358-21ebd2c9-3cd2-4f490	FASTQC (AD031-32_S34_L002)	ABORTED	-	2023-05-08 17:27:06.586	-	-	-	-	-	-	-
24	05/9625f9	nf-059625f9-1683584801776/nf-059625f9-168358-37e7bf2e-c5cd-4ade0	BBMAP_BBDUK (AD031-32_S34_L002)	ABORTED	-	2023-05-08 17:27:07.486	-	-	-	-	-	-	-
26	bf/629dcb	nf-bf629dcb-1683584801818/nf-bf629dcb-168358-93be74fa-1699-4a320	FASTQC (AD031-42_S1_L001)	ABORTED	-	2023-05-08 17:27:08.449	-	-	-	-	-	-	-
25	6c/1a237f	nf-6c1a237f-1683584801866/nf-6c1a237f-168358-eb3013df-29af-4aac0	BBMAP_BBDUK (AD031-42_S1_L001)	ABORTED	-	2023-05-08 17:27:09.134	-	-	-	-	-	-	-
28	64/93e77d	nf-6493e77d-1683584801949/nf-6493e77d-168358-5ed68769-52f4-47420	BBMAP_BBDUK (AD031-42_S1_L002)	ABORTED	-	2023-05-08 17:27:09.930	-	-	-	-	-	-	-
27	09/47c3fa	nf-0947c3fa-1683584801958/nf-0947c3fa-168358-a60d5de1-d42c-431f0	FASTQC (AD031-42_S1_L002)	ABORTED	-	2023-05-08 17:27:10.853	-	-	-	-	-	-	-
30	37/01d7ef	nf-3701d7ef-1683584802023/nf-3701d7ef-168358-da4fece9-5a46-4d330	FASTQC (AD032-32_S12_L001)	ABORTED	-	2023-05-08 17:27:11.635	-	-	-	-	-	-	-
29	50/4c6c9b	nf-504c6c9b-1683584802076/nf-504c6c9b-168358-5558ba9c-db44-44480	BBMAP_BBDUK (AD032-32_S12_L001)	ABORTED	-	2023-05-08 17:27:12.292	-	-	-	-	-	-	-
31	8c/449f3f	nf-8c449f3f-1683584802098/nf-8c449f3f-168358-a5e4511c-5f27-4e220	FASTQC (AD032-32_S12_L002)	ABORTED	-	2023-05-08 17:27:13.115	-	-	-	-	-	-	-
34	78/7de374	nf-787de374-1683584802229/nf-787de374-168358-23b59e7e-ffd5-496f0	FASTQC (AD034-32_S7_L001)	ABORTED	-	2023-05-08 17:27:13.801	-	-	-	-	-	-	-
